restaurant_id,name,name_he,city,city_he,region,region_he,cuisine,cuisine_he,restaurant_type,restaurant_type_he,kosher,avg_price_per_person,price_level,rating,suitable_for,suitable_for_he,recommended_dish,recommended_dish_he,is_known_recommended,is_real_name,data_source_note
2848,Royal Table 1848,רויאל טייבל 1848,Zichron Yaakov,זכרון יעקב,North,צפון,Seafood,פירות ים,Fish,דגים,No,227,Expensive,3.4,"Date,Business","דייט,עסקים",Grilled Fish,דג בגריל,No,No,Synthetic restaurant row created for project scale
2849,Little Garden 1849,ליטל גארדן 1849,Tel Aviv,תל אביב,Center,מרכז,Cafe,בית קפה,Dairy,חלבי,No,67,Cheap,4.3,"Families,Students","משפחות,סטודנטים",Israeli Breakfast,ארוחת בוקר ישראלית,No,No,Synthetic restaurant row created for project scale
2850,Spicy Room 1850,ספייסי רום 1850,Ramat Gan,רמת גן,Center,מרכז,Vegan,טבעוני,Vegan,טבעוני,No,102,Medium,3.5,"Families,Couples","משפחות,זוגות",Vegan Bowl,קערה טבעונית,No,No,Synthetic restaurant row created for project scale
2851,Garden Grill 1851,גארדן גריל 1851,Rishon LeZion,ראשון לציון,Center,מרכז,Pizza,פיצה,Dairy,חלבי,Yes,75,Cheap,3.5,"Friends,Students","חברים,סטודנטים",Margherita Pizza,פיצה מרגריטה,No,No,Synthetic restaurant row created for project scale
2852,Market Corner 1852,מרקט קורנר 1852,Netanya,נתניה,Center,מרכז,Steakhouse,סטייק האוס,Meat,בשרי,No,335,Expensive,3.4,"Couples,Business","זוגות,עסקים",Entrecote,אנטריקוט,No,No,Synthetic restaurant row created for project scale
2853,Street Market 1853,סטריט מרקט 1853,Rehovot,רחובות,Center,מרכז,Burger,המבורגרים,Meat,בשרי,No,132,Medium,3.8,"Couples,Friends","זוגות,חברים",Classic Burger,המבורגר קלאסי,No,No,Synthetic restaurant row created for project scale
2854,Classic Bistro 1854,קלאסיק ביסטרו 1854,Ashkelon,אשקלון,South,דרום,Mexican,מקסיקני,Mixed,מעורב,Yes,82,Medium,4.3,"Business,Friends","עסקים,חברים",Tacos,טאקו,No,No,Synthetic restaurant row created for project scale
2855,Local Deli 1855,מקומי דלי 1855,Nazareth,נצרת,North,צפון,Japanese,יפני,Mixed,מעורב,Yes,137,Medium,3.8,"Couples,Friends","זוגות,חברים",Sushi Roll,רול סושי,No,No,Synthetic restaurant row created for project scale
2856,Urban Oven 1856,אורבן אובן 1856,Zichron Yaakov,זכרון יעקב,North,צפון,Indian,הודי,Mixed,מעורב,No,100,Medium,4.2,"Families,Friends","משפחות,חברים",Curry,קארי,No,No,Synthetic restaurant row created for project scale
2857,Fresh Kitchen 1857,פרש קיטשן 1857,Tel Aviv,תל אביב,Center,מרכז,Asian,אסייתי,Mixed,מעורב,No,101,Medium,4.6,"Families,Friends","משפחות,חברים",Noodles,נודלס,No,No,Synthetic restaurant row created for project scale
2858,Golden Place 1858,גולדן פלייס 1858,Ramat Gan,רמת גן,Center,מרכז,Thai,תאילנדי,Mixed,מעורב,Yes,95,Medium,4.1,"Business,Friends","עסקים,חברים",Pad Thai,פאד תאי,No,No,Synthetic restaurant row created for project scale
2859,Happy Wok 1859,האפי ווק 1859,Rishon LeZion,ראשון לציון,Center,מרכז,Italian,איטלקי,Mixed,מעורב,Yes,114,Medium,4.3,"Families,Couples","משפחות,זוגות",Pasta,פסטה,No,No,Synthetic restaurant row created for project scale
2860,Green Fork 1860,גרין פורק 1860,Netanya,נתניה,Center,מרכז,Greek,יווני,Mixed,מעורב,Yes,169,Medium,4.2,"Couples,Friends","זוגות,חברים",Greek Salad,סלט יווני,No,No,Synthetic restaurant row created for project scale
2861,Blue House 1861,בלו האוס 1861,Rehovot,רחובות,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,No,161,Medium,4.1,"Families,Couples","משפחות,זוגות",Grilled Sea Bass,לברק בגריל,No,No,Synthetic restaurant row created for project scale
2862,Sunny Bar 1862,סאני בר 1862,Ashkelon,אשקלון,South,דרום,Israeli,ישראלי,Mixed,מעורב,Yes,86,Medium,3.5,"Business,Friends","עסקים,חברים",Shakshuka,שקשוקה,No,No,Synthetic restaurant row created for project scale
2863,Chef Plate 1863,שף פלייט 1863,Nazareth,נצרת,North,צפון,Seafood,פירות ים,Fish,דגים,No,214,Expensive,4.6,"Couples,Special Occasion","זוגות,אירוע מיוחד",Grilled Fish,דג בגריל,No,No,Synthetic restaurant row created for project scale
2864,Noble Table 1864,נובל טייבל 1864,Zichron Yaakov,זכרון יעקב,North,צפון,Cafe,בית קפה,Dairy,חלבי,No,68,Cheap,3.9,"Families,Friends","משפחות,חברים",Israeli Breakfast,ארוחת בוקר ישראלית,No,No,Synthetic restaurant row created for project scale
2865,Crispy Garden 1865,קריספי גארדן 1865,Tel Aviv,תל אביב,Center,מרכז,Vegan,טבעוני,Vegan,טבעוני,Yes,201,Expensive,3.3,"Friends,Couples","חברים,זוגות",Vegan Bowl,קערה טבעונית,No,No,Synthetic restaurant row created for project scale
2866,Royal Room 1866,רויאל רום 1866,Ramat Gan,רמת גן,Center,מרכז,Pizza,פיצה,Dairy,חלבי,Yes,65,Cheap,4.2,"Families,Friends","משפחות,חברים",Margherita Pizza,פיצה מרגריטה,No,No,Synthetic restaurant row created for project scale
2867,Little Grill 1867,ליטל גריל 1867,Rishon LeZion,ראשון לציון,Center,מרכז,Steakhouse,סטייק האוס,Meat,בשרי,Yes,254,Expensive,3.3,"Couples,Special Occasion","זוגות,אירוע מיוחד",Entrecote,אנטריקוט,No,No,Synthetic restaurant row created for project scale
2868,Spicy Corner 1868,ספייסי קורנר 1868,Netanya,נתניה,Center,מרכז,Burger,המבורגרים,Meat,בשרי,Yes,171,Medium,4.8,"Families,Friends","משפחות,חברים",Classic Burger,המבורגר קלאסי,No,No,Synthetic restaurant row created for project scale
2869,Garden Market 1869,גארדן מרקט 1869,Rehovot,רחובות,Center,מרכז,Mexican,מקסיקני,Mixed,מעורב,No,133,Medium,4.3,"Business,Friends","עסקים,חברים",Tacos,טאקו,No,No,Synthetic restaurant row created for project scale
2870,Market Bistro 1870,מרקט ביסטרו 1870,Ashkelon,אשקלון,South,דרום,Japanese,יפני,Mixed,מעורב,Yes,116,Medium,3.9,"Business,Friends","עסקים,חברים",Sushi Roll,רול סושי,No,No,Synthetic restaurant row created for project scale
2871,Street Deli 1871,סטריט דלי 1871,Nazareth,נצרת,North,צפון,Indian,הודי,Mixed,מעורב,No,141,Medium,4.4,"Couples,Friends","זוגות,חברים",Curry,קארי,No,No,Synthetic restaurant row created for project scale
2872,Classic Oven 1872,קלאסיק אובן 1872,Zichron Yaakov,זכרון יעקב,North,צפון,Asian,אסייתי,Mixed,מעורב,No,116,Medium,3.5,"Families,Friends","משפחות,חברים",Noodles,נודלס,No,No,Synthetic restaurant row created for project scale
2873,Local Kitchen 1873,מקומי קיטשן 1873,Tel Aviv,תל אביב,Center,מרכז,Thai,תאילנדי,Mixed,מעורב,Yes,91,Medium,4.6,"Business,Friends","עסקים,חברים",Pad Thai,פאד תאי,No,No,Synthetic restaurant row created for project scale
2874,Urban Place 1874,אורבן פלייס 1874,Ramat Gan,רמת גן,Center,מרכז,Italian,איטלקי,Mixed,מעורב,No,154,Medium,4.3,"Families,Friends","משפחות,חברים",Pasta,פסטה,No,No,Synthetic restaurant row created for project scale
2875,Fresh Wok 1875,פרש ווק 1875,Rishon LeZion,ראשון לציון,Center,מרכז,Greek,יווני,Mixed,מעורב,No,138,Medium,4.6,"Couples,Friends","זוגות,חברים",Greek Salad,סלט יווני,No,No,Synthetic restaurant row created for project scale
2876,Golden Fork 1876,גולדן פורק 1876,Netanya,נתניה,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,No,251,Expensive,3.4,"Families,Couples","משפחות,זוגות",Grilled Sea Bass,לברק בגריל,No,No,Synthetic restaurant row created for project scale
2877,Happy House 1877,האפי האוס 1877,Rehovot,רחובות,Center,מרכז,Israeli,ישראלי,Mixed,מעורב,Yes,138,Medium,3.6,"Families,Friends","משפחות,חברים",Shakshuka,שקשוקה,No,No,Synthetic restaurant row created for project scale
2878,Green Bar 1878,גרין בר 1878,Ashkelon,אשקלון,South,דרום,Seafood,פירות ים,Fish,דגים,No,187,Expensive,4.7,"Date,Business","דייט,עסקים",Grilled Fish,דג בגריל,No,No,Synthetic restaurant row created for project scale
2879,Blue Plate 1879,בלו פלייט 1879,Nazareth,נצרת,North,צפון,Cafe,בית קפה,Dairy,חלבי,Yes,62,Cheap,4.6,"Families,Students","משפחות,סטודנטים",Israeli Breakfast,ארוחת בוקר ישראלית,No,No,Synthetic restaurant row created for project scale
2880,Sunny Table 1880,סאני טייבל 1880,Zichron Yaakov,זכרון יעקב,North,צפון,Vegan,טבעוני,Vegan,טבעוני,Yes,143,Medium,4.1,"Families,Couples","משפחות,זוגות",Vegan Bowl,קערה טבעונית,No,No,Synthetic restaurant row created for project scale
2881,Chef Garden 1881,שף גארדן 1881,Tel Aviv,תל אביב,Center,מרכז,Pizza,פיצה,Dairy,חלבי,No,95,Medium,4.2,"Friends,Students","חברים,סטודנטים",Margherita Pizza,פיצה מרגריטה,No,No,Synthetic restaurant row created for project scale
2882,Noble Room 1882,נובל רום 1882,Ramat Gan,רמת גן,Center,מרכז,Steakhouse,סטייק האוס,Meat,בשרי,No,201,Expensive,4.7,"Couples,Special Occasion","זוגות,אירוע מיוחד",Entrecote,אנטריקוט,No,No,Synthetic restaurant row created for project scale
2883,Crispy Grill 1883,קריספי גריל 1883,Rishon LeZion,ראשון לציון,Center,מרכז,Burger,המבורגרים,Meat,בשרי,No,162,Medium,3.4,"Business,Friends","עסקים,חברים",Classic Burger,המבורגר קלאסי,No,No,Synthetic restaurant row created for project scale
2884,Royal Corner 1884,רויאל קורנר 1884,Netanya,נתניה,Center,מרכז,Mexican,מקסיקני,Mixed,מעורב,No,111,Medium,4.8,"Business,Friends","עסקים,חברים",Tacos,טאקו,No,No,Synthetic restaurant row created for project scale
2885,Little Market 1885,ליטל מרקט 1885,Rehovot,רחובות,Center,מרכז,Japanese,יפני,Mixed,מעורב,Yes,140,Medium,3.6,"Couples,Friends","זוגות,חברים",Sushi Roll,רול סושי,No,No,Synthetic restaurant row created for project scale
2886,Spicy Bistro 1886,ספייסי ביסטרו 1886,Ashkelon,אשקלון,South,דרום,Indian,הודי,Mixed,מעורב,Yes,102,Medium,4.8,"Business,Friends","עסקים,חברים",Curry,קארי,No,No,Synthetic restaurant row created for project scale
2887,Garden Deli 1887,גארדן דלי 1887,Nazareth,נצרת,North,צפון,Asian,אסייתי,Mixed,מעורב,Yes,138,Medium,4.7,"Couples,Friends","זוגות,חברים",Noodles,נודלס,No,No,Synthetic restaurant row created for project scale
2888,Market Oven 1888,מרקט אובן 1888,Zichron Yaakov,זכרון יעקב,North,צפון,Thai,תאילנדי,Mixed,מעורב,Yes,146,Medium,3.6,"Couples,Friends","זוגות,חברים",Pad Thai,פאד תאי,No,No,Synthetic restaurant row created for project scale
2889,Street Kitchen 1889,סטריט קיטשן 1889,Tel Aviv,תל אביב,Center,מרכז,Italian,איטלקי,Mixed,מעורב,Yes,164,Medium,4.2,"Friends,Couples","חברים,זוגות",Pasta,פסטה,No,No,Synthetic restaurant row created for project scale
2890,Classic Place 1890,קלאסיק פלייס 1890,Ramat Gan,רמת גן,Center,מרכז,Greek,יווני,Mixed,מעורב,Yes,157,Medium,3.6,"Business,Friends","עסקים,חברים",Greek Salad,סלט יווני,No,No,Synthetic restaurant row created for project scale
2891,Local Wok 1891,מקומי ווק 1891,Rishon LeZion,ראשון לציון,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,No,204,Expensive,3.4,"Friends,Couples","חברים,זוגות",Grilled Sea Bass,לברק בגריל,No,No,Synthetic restaurant row created for project scale
2892,Urban Fork 1892,אורבן פורק 1892,Netanya,נתניה,Center,מרכז,Israeli,ישראלי,Mixed,מעורב,Yes,133,Medium,3.5,"Families,Friends","משפחות,חברים",Shakshuka,שקשוקה,No,No,Synthetic restaurant row created for project scale
2893,Fresh House 1893,פרש האוס 1893,Rehovot,רחובות,Center,מרכז,Seafood,פירות ים,Fish,דגים,No,195,Expensive,3.5,"Date,Business","דייט,עסקים",Grilled Fish,דג בגריל,No,No,Synthetic restaurant row created for project scale
2894,Golden Bar 1894,גולדן בר 1894,Ashkelon,אשקלון,South,דרום,Cafe,בית קפה,Dairy,חלבי,Yes,86,Medium,3.7,"Friends,Students","חברים,סטודנטים",Israeli Breakfast,ארוחת בוקר ישראלית,No,No,Synthetic restaurant row created for project scale
2895,Happy Plate 1895,האפי פלייט 1895,Nazareth,נצרת,North,צפון,Vegan,טבעוני,Vegan,טבעוני,Yes,135,Medium,4.5,"Families,Friends","משפחות,חברים",Vegan Bowl,קערה טבעונית,No,No,Synthetic restaurant row created for project scale
2896,Green Table 1896,גרין טייבל 1896,Zichron Yaakov,זכרון יעקב,North,צפון,Pizza,פיצה,Dairy,חלבי,Yes,59,Cheap,3.4,"Friends,Students","חברים,סטודנטים",Margherita Pizza,פיצה מרגריטה,No,No,Synthetic restaurant row created for project scale
2897,Blue Garden 1897,בלו גארדן 1897,Tel Aviv,תל אביב,Center,מרכז,Steakhouse,סטייק האוס,Meat,בשרי,Yes,296,Expensive,4.7,"Date,Business","דייט,עסקים",Entrecote,אנטריקוט,No,No,Synthetic restaurant row created for project scale
2898,Sunny Room 1898,סאני רום 1898,Ramat Gan,רמת גן,Center,מרכז,Burger,המבורגרים,Meat,בשרי,Yes,162,Medium,4.0,"Business,Friends","עסקים,חברים",Classic Burger,המבורגר קלאסי,No,No,Synthetic restaurant row created for project scale
2899,Chef Grill 1899,שף גריל 1899,Rishon LeZion,ראשון לציון,Center,מרכז,Mexican,מקסיקני,Mixed,מעורב,Yes,147,Medium,3.4,"Couples,Friends","זוגות,חברים",Tacos,טאקו,No,No,Synthetic restaurant row created for project scale
2900,Noble Corner 1900,נובל קורנר 1900,Netanya,נתניה,Center,מרכז,Japanese,יפני,Mixed,מעורב,Yes,109,Medium,4.5,"Business,Friends","עסקים,חברים",Sushi Roll,רול סושי,No,No,Synthetic restaurant row created for project scale
2901,Crispy Market 1901,קריספי מרקט 1901,Rehovot,רחובות,Center,מרכז,Indian,הודי,Mixed,מעורב,Yes,86,Medium,3.6,"Families,Friends","משפחות,חברים",Curry,קארי,No,No,Synthetic restaurant row created for project scale
2902,Royal Bistro 1902,רויאל ביסטרו 1902,Ashkelon,אשקלון,South,דרום,Asian,אסייתי,Mixed,מעורב,No,108,Medium,4.7,"Business,Friends","עסקים,חברים",Noodles,נודלס,No,No,Synthetic restaurant row created for project scale
2903,Little Deli 1903,ליטל דלי 1903,Nazareth,נצרת,North,צפון,Thai,תאילנדי,Mixed,מעורב,Yes,91,Medium,4.7,"Families,Friends","משפחות,חברים",Pad Thai,פאד תאי,No,No,Synthetic restaurant row created for project scale
2904,Spicy Oven 1904,ספייסי אובן 1904,Zichron Yaakov,זכרון יעקב,North,צפון,Italian,איטלקי,Mixed,מעורב,No,180,Medium,3.3,"Families,Couples","משפחות,זוגות",Pasta,פסטה,No,No,Synthetic restaurant row created for project scale
2905,Garden Kitchen 1905,גארדן קיטשן 1905,Tel Aviv,תל אביב,Center,מרכז,Greek,יווני,Mixed,מעורב,No,197,Expensive,4.1,"Couples,Friends","זוגות,חברים",Greek Salad,סלט יווני,No,No,Synthetic restaurant row created for project scale
2906,Market Place 1906,מרקט פלייס 1906,Ramat Gan,רמת גן,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,Yes,188,Expensive,3.7,"Families,Couples","משפחות,זוגות",Grilled Sea Bass,לברק בגריל,No,No,Synthetic restaurant row created for project scale
2907,Street Wok 1907,סטריט ווק 1907,Rishon LeZion,ראשון לציון,Center,מרכז,Israeli,ישראלי,Mixed,מעורב,Yes,77,Cheap,4.1,"Couples,Friends","זוגות,חברים",Shakshuka,שקשוקה,No,No,Synthetic restaurant row created for project scale
2908,Classic Fork 1908,קלאסיק פורק 1908,Netanya,נתניה,Center,מרכז,Seafood,פירות ים,Fish,דגים,No,181,Expensive,3.2,"Couples,Business","זוגות,עסקים",Grilled Fish,דג בגריל,No,No,Synthetic restaurant row created for project scale
2909,Local House 1909,מקומי האוס 1909,Rehovot,רחובות,Center,מרכז,Cafe,בית קפה,Dairy,חלבי,Yes,79,Cheap,3.7,"Families,Friends","משפחות,חברים",Israeli Breakfast,ארוחת בוקר ישראלית,No,No,Synthetic restaurant row created for project scale
2910,Urban Bar 1910,אורבן בר 1910,Ashkelon,אשקלון,South,דרום,Vegan,טבעוני,Vegan,טבעוני,No,126,Medium,3.2,"Families,Couples","משפחות,זוגות",Vegan Bowl,קערה טבעונית,No,No,Synthetic restaurant row created for project scale
2911,Fresh Plate 1911,פרש פלייט 1911,Nazareth,נצרת,North,צפון,Pizza,פיצה,Dairy,חלבי,Yes,69,Cheap,3.9,"Families,Students","משפחות,סטודנטים",Margherita Pizza,פיצה מרגריטה,No,No,Synthetic restaurant row created for project scale
2912,Golden Table 1912,גולדן טייבל 1912,Zichron Yaakov,זכרון יעקב,North,צפון,Steakhouse,סטייק האוס,Meat,בשרי,No,347,Expensive,3.7,"Couples,Special Occasion","זוגות,אירוע מיוחד",Entrecote,אנטריקוט,No,No,Synthetic restaurant row created for project scale
2913,Happy Garden 1913,האפי גארדן 1913,Tel Aviv,תל אביב,Center,מרכז,Burger,המבורגרים,Meat,בשרי,No,157,Medium,4.6,"Families,Friends","משפחות,חברים",Classic Burger,המבורגר קלאסי,No,No,Synthetic restaurant row created for project scale
2914,Green Room 1914,גרין רום 1914,Ramat Gan,רמת גן,Center,מרכז,Mexican,מקסיקני,Mixed,מעורב,No,91,Medium,4.8,"Families,Friends","משפחות,חברים",Tacos,טאקו,No,No,Synthetic restaurant row created for project scale
2915,Blue Grill 1915,בלו גריל 1915,Rishon LeZion,ראשון לציון,Center,מרכז,Japanese,יפני,Mixed,מעורב,Yes,131,Medium,3.8,"Business,Friends","עסקים,חברים",Sushi Roll,רול סושי,No,No,Synthetic restaurant row created for project scale
2916,Sunny Corner 1916,סאני קורנר 1916,Netanya,נתניה,Center,מרכז,Indian,הודי,Mixed,מעורב,No,85,Medium,3.8,"Families,Friends","משפחות,חברים",Curry,קארי,No,No,Synthetic restaurant row created for project scale
2917,Chef Market 1917,שף מרקט 1917,Rehovot,רחובות,Center,מרכז,Asian,אסייתי,Mixed,מעורב,Yes,167,Medium,3.4,"Couples,Friends","זוגות,חברים",Noodles,נודלס,No,No,Synthetic restaurant row created for project scale
2918,Noble Bistro 1918,נובל ביסטרו 1918,Ashkelon,אשקלון,South,דרום,Thai,תאילנדי,Mixed,מעורב,No,113,Medium,4.3,"Families,Friends","משפחות,חברים",Pad Thai,פאד תאי,No,No,Synthetic restaurant row created for project scale
2919,Crispy Deli 1919,קריספי דלי 1919,Nazareth,נצרת,North,צפון,Italian,איטלקי,Mixed,מעורב,No,169,Medium,4.5,"Friends,Couples","חברים,זוגות",Pasta,פסטה,No,No,Synthetic restaurant row created for project scale
2920,Royal Oven 1920,רויאל אובן 1920,Zichron Yaakov,זכרון יעקב,North,צפון,Greek,יווני,Mixed,מעורב,Yes,134,Medium,4.7,"Business,Friends","עסקים,חברים",Greek Salad,סלט יווני,No,No,Synthetic restaurant row created for project scale
2921,Little Kitchen 1921,ליטל קיטשן 1921,Tel Aviv,תל אביב,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,No,177,Medium,4.5,"Families,Friends","משפחות,חברים",Grilled Sea Bass,לברק בגריל,No,No,Synthetic restaurant row created for project scale
2922,Spicy Place 1922,ספייסי פלייס 1922,Ramat Gan,רמת גן,Center,מרכז,Israeli,ישראלי,Mixed,מעורב,Yes,170,Medium,3.2,"Families,Friends","משפחות,חברים",Shakshuka,שקשוקה,No,No,Synthetic restaurant row created for project scale
2923,Garden Wok 1923,גארדן ווק 1923,Rishon LeZion,ראשון לציון,Center,מרכז,Seafood,פירות ים,Fish,דגים,No,187,Expensive,3.7,"Date,Business","דייט,עסקים",Grilled Fish,דג בגריל,No,No,Synthetic restaurant row created for project scale
2924,Market Fork 1924,מרקט פורק 1924,Netanya,נתניה,Center,מרכז,Cafe,בית קפה,Dairy,חלבי,No,75,Cheap,4.5,"Families,Students","משפחות,סטודנטים",Israeli Breakfast,ארוחת בוקר ישראלית,No,No,Synthetic restaurant row created for project scale
2925,Street House 1925,סטריט האוס 1925,Rehovot,רחובות,Center,מרכז,Vegan,טבעוני,Vegan,טבעוני,No,161,Medium,3.4,"Friends,Couples","חברים,זוגות",Vegan Bowl,קערה טבעונית,No,No,Synthetic restaurant row created for project scale
2926,Classic Bar 1926,קלאסיק בר 1926,Ashkelon,אשקלון,South,דרום,Pizza,פיצה,Dairy,חלבי,Yes,66,Cheap,4.4,"Friends,Students","חברים,סטודנטים",Margherita Pizza,פיצה מרגריטה,No,No,Synthetic restaurant row created for project scale
2927,Local Plate 1927,מקומי פלייט 1927,Nazareth,נצרת,North,צפון,Steakhouse,סטייק האוס,Meat,בשרי,No,306,Expensive,3.9,"Couples,Special Occasion","זוגות,אירוע מיוחד",Entrecote,אנטריקוט,No,No,Synthetic restaurant row created for project scale
2928,Urban Table 1928,אורבן טייבל 1928,Zichron Yaakov,זכרון יעקב,North,צפון,Burger,המבורגרים,Meat,בשרי,No,147,Medium,4.5,"Couples,Friends","זוגות,חברים",Classic Burger,המבורגר קלאסי,No,No,Synthetic restaurant row created for project scale
2929,Fresh Garden 1929,פרש גארדן 1929,Tel Aviv,תל אביב,Center,מרכז,Mexican,מקסיקני,Mixed,מעורב,Yes,172,Medium,4.7,"Families,Friends","משפחות,חברים",Tacos,טאקו,No,No,Synthetic restaurant row created for project scale
2930,Golden Room 1930,גולדן רום 1930,Ramat Gan,רמת גן,Center,מרכז,Japanese,יפני,Mixed,מעורב,No,148,Medium,4.1,"Business,Friends","עסקים,חברים",Sushi Roll,רול סושי,No,No,Synthetic restaurant row created for project scale
2931,Happy Grill 1931,האפי גריל 1931,Rishon LeZion,ראשון לציון,Center,מרכז,Indian,הודי,Mixed,מעורב,No,138,Medium,4.1,"Families,Friends","משפחות,חברים",Curry,קארי,No,No,Synthetic restaurant row created for project scale
2932,Green Corner 1932,גרין קורנר 1932,Netanya,נתניה,Center,מרכז,Asian,אסייתי,Mixed,מעורב,No,100,Medium,4.1,"Couples,Friends","זוגות,חברים",Noodles,נודלס,No,No,Synthetic restaurant row created for project scale
2933,Blue Market 1933,בלו מרקט 1933,Rehovot,רחובות,Center,מרכז,Thai,תאילנדי,Mixed,מעורב,Yes,101,Medium,3.6,"Families,Friends","משפחות,חברים",Pad Thai,פאד תאי,No,No,Synthetic restaurant row created for project scale
2934,Sunny Bistro 1934,סאני ביסטרו 1934,Ashkelon,אשקלון,South,דרום,Italian,איטלקי,Mixed,מעורב,Yes,92,Medium,3.8,"Friends,Couples","חברים,זוגות",Pasta,פסטה,No,No,Synthetic restaurant row created for project scale
2935,Chef Deli 1935,שף דלי 1935,Nazareth,נצרת,North,צפון,Greek,יווני,Mixed,מעורב,Yes,114,Medium,3.3,"Couples,Friends","זוגות,חברים",Greek Salad,סלט יווני,No,No,Synthetic restaurant row created for project scale
2936,Noble Oven 1936,נובל אובן 1936,Zichron Yaakov,זכרון יעקב,North,צפון,Mediterranean,ים תיכוני,Mixed,מעורב,No,145,Medium,3.7,"Families,Couples","משפחות,זוגות",Grilled Sea Bass,לברק בגריל,No,No,Synthetic restaurant row created for project scale
2937,Crispy Kitchen 1937,קריספי קיטשן 1937,Tel Aviv,תל אביב,Center,מרכז,Israeli,ישראלי,Mixed,מעורב,No,101,Medium,3.5,"Families,Friends","משפחות,חברים",Shakshuka,שקשוקה,No,No,Synthetic restaurant row created for project scale
2938,Royal Place 1938,רויאל פלייס 1938,Ramat Gan,רמת גן,Center,מרכז,Seafood,פירות ים,Fish,דגים,No,164,Medium,4.4,"Couples,Business","זוגות,עסקים",Grilled Fish,דג בגריל,No,No,Synthetic restaurant row created for project scale
2939,Little Wok 1939,ליטל ווק 1939,Rishon LeZion,ראשון לציון,Center,מרכז,Cafe,בית קפה,Dairy,חלבי,Yes,69,Cheap,4.4,"Families,Friends","משפחות,חברים",Israeli Breakfast,ארוחת בוקר ישראלית,No,No,Synthetic restaurant row created for project scale
2940,Spicy Fork 1940,ספייסי פורק 1940,Netanya,נתניה,Center,מרכז,Vegan,טבעוני,Vegan,טבעוני,No,185,Expensive,3.3,"Families,Couples","משפחות,זוגות",Vegan Bowl,קערה טבעונית,No,No,Synthetic restaurant row created for project scale
2941,Garden House 1941,גארדן האוס 1941,Rehovot,רחובות,Center,מרכז,Pizza,פיצה,Dairy,חלבי,Yes,85,Medium,4.5,"Families,Students","משפחות,סטודנטים",Margherita Pizza,פיצה מרגריטה,No,No,Synthetic restaurant row created for project scale
2942,Market Bar 1942,מרקט בר 1942,Ashkelon,אשקלון,South,דרום,Steakhouse,סטייק האוס,Meat,בשרי,Yes,217,Expensive,3.8,"Couples,Business","זוגות,עסקים",Entrecote,אנטריקוט,No,No,Synthetic restaurant row created for project scale
2943,Street Plate 1943,סטריט פלייט 1943,Nazareth,נצרת,North,צפון,Burger,המבורגרים,Meat,בשרי,Yes,79,Cheap,3.2,"Couples,Friends","זוגות,חברים",Classic Burger,המבורגר קלאסי,No,No,Synthetic restaurant row created for project scale
2944,Classic Table 1944,קלאסיק טייבל 1944,Zichron Yaakov,זכרון יעקב,North,צפון,Mexican,מקסיקני,Mixed,מעורב,Yes,167,Medium,3.5,"Business,Friends","עסקים,חברים",Tacos,טאקו,No,No,Synthetic restaurant row created for project scale
2945,Local Garden 1945,מקומי גארדן 1945,Tel Aviv,תל אביב,Center,מרכז,Japanese,יפני,Mixed,מעורב,Yes,162,Medium,4.3,"Couples,Friends","זוגות,חברים",Sushi Roll,רול סושי,No,No,Synthetic restaurant row created for project scale
2946,Urban Room 1946,אורבן רום 1946,Ramat Gan,רמת גן,Center,מרכז,Indian,הודי,Mixed,מעורב,No,122,Medium,4.4,"Couples,Friends","זוגות,חברים",Curry,קארי,No,No,Synthetic restaurant row created for project scale
2947,Fresh Grill 1947,פרש גריל 1947,Rishon LeZion,ראשון לציון,Center,מרכז,Asian,אסייתי,Mixed,מעורב,Yes,126,Medium,3.4,"Families,Friends","משפחות,חברים",Noodles,נודלס,No,No,Synthetic restaurant row created for project scale
2948,Golden Corner 1948,גולדן קורנר 1948,Netanya,נתניה,Center,מרכז,Thai,תאילנדי,Mixed,מעורב,Yes,112,Medium,4.0,"Families,Friends","משפחות,חברים",Pad Thai,פאד תאי,No,No,Synthetic restaurant row created for project scale
2949,Happy Market 1949,האפי מרקט 1949,Rehovot,רחובות,Center,מרכז,Italian,איטלקי,Mixed,מעורב,No,144,Medium,4.3,"Friends,Couples","חברים,זוגות",Pasta,פסטה,No,No,Synthetic restaurant row created for project scale
2950,Green Bistro 1950,גרין ביסטרו 1950,Ashkelon,אשקלון,South,דרום,Greek,יווני,Mixed,מעורב,No,173,Medium,4.0,"Business,Friends","עסקים,חברים",Greek Salad,סלט יווני,No,No,Synthetic restaurant row created for project scale
2951,Blue Deli 1951,בלו דלי 1951,Nazareth,נצרת,North,צפון,Mediterranean,ים תיכוני,Mixed,מעורב,Yes,218,Expensive,4.7,"Friends,Couples","חברים,זוגות",Grilled Sea Bass,לברק בגריל,No,No,Synthetic restaurant row created for project scale
2952,Sunny Oven 1952,סאני אובן 1952,Zichron Yaakov,זכרון יעקב,North,צפון,Israeli,ישראלי,Mixed,מעורב,Yes,136,Medium,3.8,"Families,Friends","משפחות,חברים",Shakshuka,שקשוקה,No,No,Synthetic restaurant row created for project scale
